Form Number,Date,Gear ,Landing Site ,Shark/Ray,Family name,Shark Scientific name,Common name ,Swahili name,Sex,Weight (kg),Total length (cm),Fork length,Pre-caudal length,Disc length,Disc width,photo ID,Comment
KPN100618-01,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,M,2,92.5,,,,,,
KPN100618-01,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,F,1.5,76,,,,,,
KPN100618-01,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,M,2,85,,,,,,
KPN100618-01,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,F,3,104,,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,M,1.5,84.5,70,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,F,1,53,32,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,F,2,96,79,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus leucas,Bullshark,Burasi,F,2.5,99,81,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,jori jori,F,0.25,40,28,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,jori jori,F,0.25,36,26,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,72,,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,57,,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,63,,,,,,
KPN100618-02,10-Jun-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.25,32,23,,,,,
KPN160718-01,16-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.25,50,38,34,,,101-0105,
KPN160718-01,16-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.25,49,38,34,,,101-0106,
KPN160718-01,16-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.25,46.5,36,32.5,,,101-0107,
KPN160718-01,16-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.25,43.5,36.5,32,,,101-0108,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Rhyncodontidae,Rhynchodon typus,Whale shark,Hamrani,F,0.75,53.5,43.5,38,,,101-0124,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Rhyncodontidae,Rhynchodon typus,Whale shark,Hamrani,M,0.75,53,43.5,39,,,101-0125,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,49.5,39,34,,,101-0126,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,48,37,33,,,101-0127,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,49,38,33.5,,,101-0128,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,50.5,40,35,,,101-0129,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,50,40,35.5,,,101-0130,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,53,40,36,,,101-0131,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,50,39,34,,,101-0132,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,50,38,34.5,,,101-0133,
KPN170718-01,17-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Kipepeo,F,0.5,17.5,21.5,,,,101-0123,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.25,41,34,30,,,101-0141,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.75,57,44,39.5,,,101-0142,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,49.5,37,34,,,101-0143,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,52.5,40,36,,,101-0144,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,52,40.5,36.5,,,101-0145,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,52,40.5,36.5,,,101-0146,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,52,40.5,36,,,101-0147,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,51,39,35,,,101-0148,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,49,36,33.5,,,101-0149,
KPN180718-01,18-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,49,38,34.5,,,101-0150,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.75,51.5,43,36.5,,,101-0169,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.65,51,41,36,,,101-0170,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,1.25,64,48,44,,,101-0171,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.85,55,43.5,38.5,,,101-0172,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,48.5,38,34,,,101-0173,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,48,38,34,,,101-0174,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.4,49,38.5,34.5,,,101-0175,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.4,44.5,35,31,,,101-0176,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.25,39.5,33.5,30,,,101-0177,
KPN200718-01,20-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.25,39.5,33.5,30.5,,,101-0178,
KPN230718-01,23-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.85,52,39,36,,,101-0296,
KPN230718-01,23-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.85,54,44,36,,,101-0297,
KPN230718-01,23-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.65,52.5,39,36.5,,,101-0298,
KPN230718-01,23-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,46.5,36,32,,,101-0299,
KPN230718-01,23-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,50.5,37,34,,,101-0300,
KPN230718-01,23-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.45,51,36,34,,,101-0301,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.8,53.5,41,36,,,101-0330,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,50,39,34,,,101-0331,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,49,39,34,,,101-0332,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,1,56,44,40,,,101-0333,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,1,55,42,37,,,101-0334,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,50,39,34.5,,,101-0335,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.7,51,40,35,,,101-0336,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.7,53,41,37,,,101-0337,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.5,48,37,35,,,101-0338,
KPN240718-01,24-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.25,36,29,26,,,101-0339,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,1,61.5,48,42,,,101-0382,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.8,54,40.5,37,,,101-0383,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.8,53,41,37,,,101-0384,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.8,53,40.5,36.5,,,101-0385,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.7,52,40,35,,,101-0386,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,49,38,35,,,101-0387,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,50,40,36,,,101-0388,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.8,53,44,39.5,,,101-0389,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Papa pepo,M,1,59.5,50,44,,,101-0390,
KPN250718-01,25-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.6,50,41,37,,,101-0391,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.7,53,43,38,,,101-0411,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,50,39,36,,,101-0412,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,50.5,38,34.5,,,101-0413,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.5,49,41,36,,,101-0414,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.4,47,36,32,,,101-0415,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,54,42,37,,,101-0416,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.4,48,38,34,,,101-0417,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.4,49,38,34,,,101-0418,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.4,44,35,32,,,101-0419,
KPN280718-01,28-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.2,34,28,25,,,101-0420,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Rhyncodontidae,Rhynchodon typus,Whale shark,Hamrani,M,0.8,51,41,38,,,101-0423,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,1,52,44,39,,,101-0424,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,47,38,34,,,101-0425,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.5,48,36,33,,,101-0426,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.8,54,40,37,,,101-0427,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,48,38,34,,,101-0428,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.7,53,41,37,,,101-0429,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.65,53,40,36,,,101-0430,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,51,40,36,,,101-0431,
KPN290718-01,29-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,50.5,38.5,35.5,,,101-0432,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,53,41,37,,,101-0456,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.7,53,41,38,,,101-0457,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,M,0.6,51,41,36.5,,,101-0458,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.6,52,41,36.5,,,101-0459,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,0.4,46,35,32,,,101-0460,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.5,52,41,38,,,101-0461,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,F,0.3,42,34.5,31.5,,,101-0462,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.3,42,34,31,,,101-0463,
KPN310718-01,31-Jul-18,Handline,Kipini,Shark,Carcharhinidae,Carcharhinus amblyrhynchos,Grey reef,Suhela,M,0.3,41,33,30,,,101-0464,
NGM150618-01,15-Jun-18,Handline,Ngomeni,,,,,Bakeshi,M,25,132,,98,,,,
NGM180618-01,18-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,5,98,,64,,,,
NGM180618-01,18-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,4,87,,52,,,,
NGM190618-01,19-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,6,101,,64,,,,
NGM190618-01,19-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,5,98,,54,,,,
NGM220618-01,22-Jun-18,Handline,Ngomeni,Shark,Ginglymostomatidae,Nebrius ferrugineus,Nurse shark,Papa Guigui,F,2.5,74,,58,,,,
NGM220618-01,22-Jun-18,Handline,Ngomeni,Shark,Ginglymostomatidae,Nebrius ferrugineus,Nurse shark,Papa Guigui,F,2,71,,60,,,,
NGM220618-01,22-Jun-18,Handline,Ngomeni,Shark,Ginglymostomatidae,Nebrius ferrugineus,Nurse shark,Papa Guigui,F,1.5,64.5,,54,,,,
NGM220618-02,22-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Papa Shubili,F,3,81,,60,,,,
NGM220618-02,22-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Papa Shubili,F,2,72,,56,,,,
NGM230618-01,23-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,F,1.5,68,,54,,,,
NGM230618-02,23-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2,82,,61,,,,
NGM230618-02,23-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.85,79,,59,,,,
NGM230618-02,23-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.75,82,,60,,,,
NGM230618-02,23-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.73,77,,62,,,,
NGM230618-03,23-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,M,1.25,66,,47,,,,
NGM230618-04,23-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,3,82,,61,,,,
NGM240618-01,24-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,M,80,165,,110,,,,
NGM250618-01,25-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,F,0.5,49,,32,,,,
NGM250618-01,25-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2,72,,54,,,,
NGM250618-01,25-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.5,75,,57,,,,
NGM250618-02,25-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,F,0.5,47,,34,,,,
NGM250618-02,25-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,F,0.5,51,,36,,,,
NGM250618-03,25-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,F,0.5,47,,28,,,,
NGM260618-01,26-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,F,0.5,44,,22,,,,
NGM260618-01,26-Jun-18,Handline,Ngomeni,Ray,Dasyatidae,Himantura uarnak ,Honeycomb stingray,Shepwa,M,4,12,,4,,,,
NGM270618-01,27-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Papa mbingusi,M,0.5,68,,48,,,,
NGM270618-02,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,3,81,,60,,,,
NGM270618-02,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.5,76,,58,,,,
NGM270618-03,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.5,74,,52,,,,
NGM270618-03,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.5,76,,56,,,,
NGM270618-04,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,4,87,,65,,,,
NGM270618-04,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,3,82,,60,,,,
NGM270618-04,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2,80,,58,,,,
NGM270618-04,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.5,78,,57,,,,
NGM270618-05,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.5,76,,61,,,,
NGM270618-05,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1,63,,52,,,,
NGM270618-06,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,3,81,,60,,,,
NGM270618-06,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1,62,,53,,,,
NGM270618-06,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2,76,,54,,,,
NGM270618-06,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.5,68,,49,,,,
NGM270618-07,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,3,81,,65,,,,
NGM270618-07,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.5,80,,64,,,,
NGM270618-07,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2,80,,62,,,,
NGM270618-07,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.5,79,,56,,,,
NGM270618-07,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.5,81,,61,,,,
NGM270618-07,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2,81,,65,,,,
NGM270618-08,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.288,63,,55,,,,
NGM270618-08,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.688,68,,58,,,,
NGM270618-08,27-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,F,0.485,47,,42,,,,
NGM270618-09,27-Jun-18,Handline,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,1,67,,32,,,,
NGM290618-01,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.5,78,,54,,,,
NGM290618-01,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2,81,,60,,,,
NGM290618-01,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.5,82,,64,,,,
NGM290618-02,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1,65,,51,,,,
NGM290618-02,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.64,79,,56,,,,
NGM290618-02,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,F,1.93,80,,57,,,,
NGM290618-03,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,F,2.5,82,,66,,,,
NGM290618-03,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,F,3,83,,67,,,,
NGM290618-04,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,1.843,80,,64,,,,
NGM290618-04,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,3.185,82,,67,,,,
NGM290618-04,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.812,82,,65,,,,
NGM290618-04,29-Jun-18,Handline,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,papa shubili,M,2.524,81,,62,,,,
